SeniorCitizen,Partner,Dependents,tenure,MultipleLines,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,PaperlessBilling,MonthlyCharges,InternetService_DSL,InternetService_Fiber optic,InternetService_No,Contract_Month-to-month,Contract_One year,Contract_Two year,PaymentMethod_Bank transfer (automatic),PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,Churn
0,0,1,0.1477681465222966,0,0,1,0,0,1,0.9950277931805424,0,1,0,1,0,0,0,0,1,0,0
1,1,0,-1.2774445836787656,0,0,0,0,0,0,-0.6638149963291393,1,0,0,1,0,0,0,0,1,0,1
0,0,0,-0.5037576729981889,0,0,0,0,0,0,-1.504314895069307,0,0,1,0,1,0,0,0,0,1,0
0,0,0,0.7992939660427822,0,0,1,0,0,1,0.684271754149477,0,1,0,1,0,0,0,0,1,0,1
0,1,0,1.6137012404433893,1,1,1,0,0,1,0.641065032145158,0,1,0,0,0,1,1,0,0,0,0
0,0,0,-0.42135599921508204,1,1,0,0,0,1,1.2143082095292435,0,1,0,1,0,0,1,0,0,0,1
0,0,1,-1.2367242199587352,0,0,1,0,0,0,-0.4391030179628221,1,0,0,1,0,0,0,0,0,1,0
0,1,0,-0.6666391278783103,1,0,1,0,0,1,1.1711782751981514,0,1,0,1,0,0,0,0,1,0,1
0,0,1,1.002895784642934,0,0,0,0,0,1,-1.5009913010689746,0,0,1,0,0,1,0,0,0,1,0
0,1,1,-0.5404380622080475,1,0,0,1,0,1,0.7759230112023562,0,1,0,1,0,0,0,0,1,0,1
0,1,1,-0.9516816739185228,1,0,0,1,0,1,0.4848561141295422,0,1,0,1,0,0,1,0,0,0,1
1,0,0,0.5549717837226001,1,1,1,1,0,1,1.503537675231376,0,1,0,0,1,0,0,0,1,0,1
0,0,0,-0.7746549987333101,1,0,0,0,0,0,-0.41163973874202764,1,0,0,1,0,0,0,0,1,0,1
0,1,0,-0.2187151269579764,0,0,1,0,0,1,0.3768393091187442,0,1,0,1,0,0,0,0,1,0,0
0,1,0,1.002895784642934,1,0,1,1,1,1,1.4835961112293827,0,1,0,0,1,0,1,0,0,0,0
0,1,1,1.6137012404433893,1,1,1,1,1,0,0.9268941161737314,1,0,0,0,0,1,1,0,0,0,0
1,1,0,-1.2774445836787656,0,0,0,0,0,1,-1.328164413051698,1,0,0,1,0,0,0,0,1,0,1
0,1,0,0.8400143297628127,0,1,1,1,0,1,1.3739175092184182,0,1,0,0,1,0,1,0,0,0,1
0,0,0,-0.0151133083578247,0,0,0,0,1,1,1.044881703185526,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-1.1179276741728996,1,0,0,0,0,1,0.3139061798925668,0,1,0,1,0,0,0,0,0,1,1
1,0,0,-1.1145631287986442,0,0,0,0,0,1,0.142525932095321,0,1,0,1,0,0,0,0,0,1,1
1,0,0,-1.1552834925186746,0,0,0,0,0,0,-1.4860351280674795,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1.125056875803025,0,1,1,1,0,0,-0.8362725010025254,1,0,0,0,0,1,1,0,0,0,0
0,0,1,1.5322605130033284,1,1,1,1,1,1,1.656422999246659,0,1,0,0,0,1,0,0,1,0,0
0,1,0,-0.4223169455581282,1,0,0,0,0,1,0.6759627691486464,0,1,0,1,0,0,0,0,1,0,1
1,1,0,0.7178532386027215,1,1,1,1,0,0,1.461992750227223,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-0.0151133083578247,0,0,0,0,0,1,0.0029349840813665,1,0,0,0,1,0,1,0,0,0,0
0,1,0,1.5729808767233588,1,0,1,1,1,0,0.6460504231456565,1,0,0,0,0,1,0,1,0,0,0
0,0,0,-0.748079855318371,0,0,0,0,0,1,0.935203101174562,0,1,0,1,0,0,0,0,1,0,0
0,1,1,-0.2187151269579764,1,0,0,0,0,1,0.3652067301175816,0,1,0,1,0,0,1,0,0,0,0
0,0,0,-0.7073594915983407,0,0,0,0,0,0,-1.5009913010689746,0,0,1,1,0,0,0,0,0,1,0
0,0,0,-0.748079855318371,0,0,0,0,0,0,-1.4744025490663168,0,0,1,0,1,0,1,0,0,0,0
0,0,0,0.19318799046095142,0,0,0,0,0,1,0.2468276934807373,0,1,0,0,1,0,1,0,0,0,1
0,0,0,-1.2367242199587352,0,1,1,0,1,1,0.7141841001524675,0,1,0,1,0,0,0,0,1,0,1
1,0,0,0.7217637610964721,1,1,1,1,0,1,1.4904913539447682,0,1,0,0,1,0,0,0,1,0,1
0,0,0,0.08469573242860409,0,0,0,1,1,1,-0.3806488056732005,1,0,0,1,0,0,0,0,1,0,1
0,1,1,0.5142514200025698,0,1,1,1,1,1,0.6510358141461546,1,0,0,0,0,1,0,0,0,1,0
1,0,0,0.4328106925625091,0,0,0,0,0,1,0.8238627021634315,0,1,0,1,0,0,0,0,0,1,1
0,0,0,-0.5037576729981889,1,1,0,0,1,0,-0.184848076937405,1,0,0,1,0,0,1,0,0,0,0
0,1,0,-1.2250963842986984,0,0,0,0,0,1,0.17041730586446893,0,1,0,1,0,0,0,0,1,0,1
0,0,0,-0.8457259428697463,0,0,0,0,0,1,-1.0406394934463319,1,0,0,1,0,0,0,1,0,0,1
0,1,1,0.7992939660427822,0,1,0,1,0,0,1.181149057199148,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0.1410685336804377,1,0,0,0,0,1,0.941260805459228,0,1,0,1,0,0,0,0,1,0,1
0,1,1,0.5956921474426305,1,0,0,0,0,0,-1.3364733980525287,0,0,1,0,0,1,0,0,0,1,0
0,0,0,-1.1960038562387048,1,0,0,0,0,1,0.3203382111130964,0,1,0,1,0,0,0,0,1,0,1
0,1,1,0.7992939660427822,0,0,0,0,0,0,-1.5142856770703037,0,0,1,0,0,1,0,0,0,1,0
0,0,1,-0.1779947632379461,0,0,1,0,1,1,-0.344380588953353,1,0,0,0,1,0,0,1,0,0,0
0,1,1,0.8400143297628127,1,1,1,0,0,0,0.1641292930974807,1,0,0,0,0,1,1,0,0,0,0
0,0,0,0.1477681465222966,1,0,1,1,0,1,1.330710787214099,0,1,0,0,1,0,1,0,0,0,0
0,1,0,-0.3001558543980371,0,1,1,0,1,1,0.2089978121019659,1,0,0,1,0,0,0,0,0,1,0
